filename,width,height,class,xmin,ymin,xmax,ymax
M_1000.jpg,626,873,Mask,275,259,398,382
M_1001.jpg,626,873,Mask,340,271,412,343
M_1002.jpg,626,873,Mask,246,271,306,332
M_1003.jpg,626,873,Mask,306,190,377,261
M_1004.jpg,626,873,Mask,296,274,426,404
M_1005.jpg,940,582,Mask,666,172,758,263
M_1006.jpg,619,873,Mask,287,99,365,177
M_1007.jpg,626,771,Mask,225,191,299,265
M_1008.jpg,940,477,Mask,359,160,415,215
M_1009.jpg,626,873,Mask,342,172,415,246
M_100.jpg,305,458,Mask,222,109,286,173
M_1010.jpg,626,873,Mask,245,178,318,251
M_1011.jpg,626,873,Mask,323,254,428,359
M_1012.jpg,940,567,Mask,690,159,764,232
M_1013.jpg,940,567,Mask,468,205,552,290
M_1014.jpg,940,491,Mask,477,127,566,216
M_1015.jpg,940,567,Mask,376,197,499,318
M_1016.jpg,626,873,Mask,297,67,382,154
M_1017.jpg,626,873,Mask,282,120,394,232
M_1018.jpg,626,873,Mask,253,98,370,215
M_1019.jpg,626,873,Mask,278,75,384,181
M_101.jpg,305,458,Mask,71,106,260,295
M_1020.jpg,626,873,Mask,297,90,374,167
M_1021.jpg,648,768,Mask,115,116,179,180
M_1022.jpg,940,639,Mask,188,130,274,216
M_1023.jpg,717,773,Mask,144,200,203,259
M_1024.jpg,627,873,Mask,514,211,579,275
M_1025.jpg,431,409,Mask,198,60,270,132
M_1026.jpg,940,682,Mask,426,153,541,269
M_1027.jpg,626,770,Mask,313,295,377,358
M_1028.jpg,626,873,Mask,285,78,369,161
M_1029.jpg,626,873,Mask,256,100,377,222
M_102.jpg,305,203,Mask,174,64,281,171
M_1030.jpg,626,873,Mask,261,165,325,228
M_1031.jpg,940,583,Mask,586,69,676,159
M_1032.jpg,626,873,Mask,310,156,377,223
M_1033.jpg,626,874,Mask,326,166,533,374
M_1034.jpg,626,874,Mask,190,181,363,354
M_1035.jpg,626,874,Mask,233,134,339,239
M_1036.jpg,626,874,Mask,344,118,482,256
M_1037.jpg,626,874,Mask,249,115,359,225
M_1038.jpg,626,873,Mask,296,75,379,159
M_1039.jpg,690,837,Mask,239,136,400,297
M_103.jpg,305,458,Mask,78,199,203,324
M_1040.jpg,533,744,Mask,67,266,160,360
M_1041.jpg,870,761,Mask,247,117,352,222
M_1042.jpg,180,167,Mask,34,57,136,160
M_1043.jpg,180,167,Mask,91,46,176,131
M_1044.jpg,500,308,Mask,242,131,283,172
M_1045.jpg,180,167,Mask,64,27,111,73
M_1046.jpg,1184,1116,Mask,562,297,950,686
M_1047.jpg,1200,744,Mask,706,156,918,368
M_1048.jpg,600,744,Mask,105,72,431,398
M_1049.jpg,889,506,Mask,547,239,659,350
M_104.jpg,305,203,Mask,144,62,259,177
M_1050.jpg,1200,744,Mask,166,183,553,570
M_1051.jpg,950,560,Mask,645,137,767,259
M_1052.jpg,897,536,Mask,441,107,544,210
M_1053.jpg,956,526,Mask,319,175,399,254
M_1054.jpg,956,514,Mask,144,200,195,252
M_1055.jpg,956,534,Mask,549,158,635,244
M_1056.jpg,956,533,Mask,420,170,489,240
M_1057.jpg,900,1255,Mask,241,213,480,451
M_1058.jpg,900,532,Mask,372,144,603,375
M_1059.jpg,900,539,Mask,367,292,590,515
M_105.jpg,305,458,Mask,55,84,126,155
M_1060.jpg,900,1255,Mask,226,288,643,705
M_1061.jpg,900,1325,Mask,122,322,518,718
M_1062.jpg,900,533,Mask,375,173,517,315
M_1063.jpg,900,1255,Mask,289,412,592,714
M_1064.jpg,900,1190,Mask,404,341,618,555
M_1065.jpg,980,607,Mask,452,294,603,445
M_1066.jpg,398,556,Mask,224,122,267,165
M_1067.jpg,500,318,Mask,157,79,289,210
M_1068.jpg,427,560,Mask,137,141,270,274
M_1069.jpg,629,417,Mask,202,101,244,144
M_106.jpg,305,203,Mask,23,57,98,132
M_1070.jpg,361,189,Mask,141,78,206,143
M_1071.jpg,896,556,Mask,347,141,555,350
M_1072.jpg,398,556,Mask,154,128,228,202
M_1073.jpg,398,556,Mask,160,129,217,187
M_1074.jpg,897,556,Mask,428,90,472,134
M_1075.jpg,398,556,Mask,176,68,225,116
M_1076.jpg,300,332,Mask,11,59,130,177
M_1077.jpg,540,283,Mask,10,97,61,148
M_1078.jpg,683,671,Mask,340,102,454,217
M_1079.jpg,600,328,Mask,124,52,189,117
M_107.jpg,305,203,Mask,122,75,242,194
M_1080.jpg,604,563,Mask,148,256,272,380
M_1081.jpg,600,349,Mask,214,131,402,318
M_1082.jpg,400,246,Mask,168,107,224,164
M_1083.jpg,300,344,Mask,106,99,193,187
M_1084.jpg,800,434,Mask,392,96,492,198
M_1085.jpg,432,696,Mask,82,168,330,416
M_1086.jpg,500,597,Mask,47,115,405,474
M_1087.jpg,615,495,Mask,332,226,469,365
M_1088.jpg,950,525,Mask,594,301,673,380
M_1089.jpg,460,641,Mask,181,344,313,476
M_108.jpg,305,459,Mask,7,74,291,358
M_1090.jpg,720,597,Mask,368,325,512,469
M_1091.jpg,443,267,Mask,175,70,257,152
M_1092.jpg,1100,1292,Mask,453,306,866,719
M_1093.jpg,1919,1642,Mask,593,719,1401,1527
M_1094.jpg,440,409,Mask,154,131,344,322
M_1095.jpg,440,511,Mask,210,64,361,214
M_1096.jpg,540,647,Mask,126,291,420,584
M_1097.jpg,218,288,Mask,57,95,167,205
M_1098.jpg,1920,1232,Mask,692,399,1227,935
M_1099.jpg,930,519,Mask,385,239,446,301
M_109.jpg,305,220,Mask,68,62,185,179
M_1100.jpg,460,427,Mask,115,134,332,350
M_1101.jpg,400,465,Mask,168,106,224,161
M_1103.jpg,960,1190,Mask,464,372,829,738
M_1104.jpg,450,279,Mask,222,38,272,89
M_1105.jpg,560,726,Mask,194,112,314,231
M_1106.jpg,900,520,Mask,57,153,127,223
M_1107.jpg,512,324,Mask,375,77,471,172
M_1108.jpg,800,433,Mask,412,160,477,225
M_1109.jpg,1200,720,Mask,229,267,399,438
M_110.jpg,305,203,Mask,146,55,196,104
M_1110.jpg,602,658,Mask,350,506,393,548
M_1111.jpg,400,247,Mask,175,108,208,142
M_1112.jpg,800,429,Mask,357,245,451,339
M_1113.jpg,980,607,Mask,445,161,487,203
M_1114.jpg,550,379,Mask,104,105,187,188
M_1115.jpg,960,893,Mask,324,176,602,453
M_1116.jpg,601,418,Mask,298,53,422,176
M_1117.jpg,960,892,Mask,196,49,861,713
M_1118.jpg,960,892,Mask,255,301,668,714
M_1119.jpg,533,744,Mask,159,175,338,354
M_111.jpg,305,203,Mask,157,70,211,123
M_1120.jpg,330,223,Mask,198,116,269,188
M_1121.jpg,500,309,Mask,272,122,305,154
M_1122.jpg,800,744,Mask,108,184,530,606
M_1123.jpg,982,695,Mask,158,131,342,315
M_1125.jpg,961,892,Mask,381,297,838,753
M_1126.jpg,180,167,Mask,17,12,142,138
M_1127.jpg,180,167,Mask,57,1,144,87
M_1128.jpg,180,167,Mask,55,40,172,158
M_1129.jpg,180,167,Mask,82,11,172,101
M_112.jpg,305,203,Mask,143,70,184,111
M_1130.jpg,180,167,Mask,83,58,123,98
M_1131.jpg,440,580,Mask,36,152,285,401
M_1132.jpg,960,893,Mask,189,147,780,738
M_1133.jpg,480,447,Mask,242,112,462,332
M_1134.jpg,550,297,Mask,220,92,328,198
M_1135.jpg,950,589,Mask,158,122,306,270
M_1136.jpg,480,447,Mask,155,169,342,356
M_1137.jpg,1440,892,Mask,303,339,456,493
M_1138.jpg,1000,930,Mask,232,284,591,642
M_1139.jpg,1024,677,Mask,328,296,521,490
M_113.jpg,305,458,Mask,135,198,209,272
M_1140.jpg,960,892,Mask,235,37,701,503
M_1141.jpg,960,892,Mask,497,285,758,547
M_1142.jpg,800,744,Mask,290,165,604,479
M_1143.jpg,1000,930,Mask,204,318,707,821
M_1144.jpg,1024,635,Mask,380,404,567,590
M_1145.jpg,900,714,Mask,118,109,182,174
M_1146.jpg,633,484,Mask,355,211,538,393
M_1147.jpg,1000,930,Mask,243,287,728,772
M_1148.jpg,1024,635,Mask,442,101,605,265
M_1149.jpg,1080,669,Mask,400,244,468,313
M_114.jpg,305,203,Mask,58,69,169,180
M_1151.jpg,1080,1255,Mask,319,542,589,812
M_1152.jpg,1080,1255,Mask,313,535,576,799
M_1153.jpg,1350,1004,Mask,549,131,816,398
M_1154.jpg,3344,4664,Mask,1548,1532,2110,2096
M_1156.jpg,1080,753,Mask,845,177,934,268
M_1158.jpg,690,1141,Mask,229,219,371,360
M_1159.jpg,440,545,Mask,203,226,272,295
M_115.jpg,305,461,Mask,135,153,185,202
M_1160.jpg,3456,4285,Mask,1688,803,2154,1270
M_1161.jpg,690,855,Mask,389,149,483,243
M_1162.jpg,690,855,Mask,256,133,373,250
M_1163.jpg,960,1248,Mask,220,419,708,908
M_1164.jpg,960,1339,Mask,401,214,647,460
M_1165.jpg,640,793,Mask,127,229,443,546
M_1166.jpg,960,1190,Mask,450,134,580,265
M_1167.jpg,960,1190,Mask,157,326,773,942
M_1168.jpg,960,892,Mask,458,354,800,696
M_116.jpg,305,458,Mask,52,48,242,238
M_1170.jpg,2947,2740,Mask,686,560,1258,1132
M_1171.jpg,2863,2662,Mask,616,541,1055,980
M_1172.jpg,2902,2698,Mask,742,588,1213,1057
M_1173.jpg,2843,2643,Mask,641,453,1184,995
M_1174.jpg,2048,1269,Mask,1294,118,1458,282
M_1175.jpg,2048,1269,Mask,1059,477,1213,631
M_1176.jpg,2048,1405,Mask,961,303,1496,837
M_1177.jpg,2048,2856,Mask,516,504,737,723
M_1178.jpg,2048,1269,Mask,1009,244,1198,432
M_1179.jpg,960,892,Mask,415,59,604,248
M_117.jpg,305,203,Mask,155,31,200,76
M_1180.jpg,960,1339,Mask,415,405,630,620
M_1181.jpg,960,1190,Mask,307,383,708,784
M_1182.jpg,2500,1550,Mask,1057,513,1607,1064
M_1183.jpg,960,892,Mask,297,293,724,720
M_1185.jpg,440,577,Mask,166,184,283,302
M_1186.jpg,960,1190,Mask,313,509,703,899
M_1187.jpg,960,1190,Mask,372,720,625,974
M_1188.jpg,2112,2618,Mask,699,827,1383,1513
M_1189.jpg,1632,2023,Mask,572,454,1010,893
M_118.jpg,305,203,Mask,71,42,139,109
M_1190.jpg,640,793,Mask,192,239,450,497
M_1191.jpg,2048,1428,Mask,1022,641,1377,997
M_1193.jpg,720,1190,Mask,251,295,600,644
M_1194.jpg,720,669,Mask,110,58,569,517
M_1195.jpg,2087,2909,Mask,838,773,1431,1367
M_1196.jpg,420,390,Mask,122,33,298,210
M_1197.jpg,810,1004,Mask,303,377,461,534
M_1198.jpg,500,465,Mask,213,50,349,185
M_1199.jpg,960,1190,Mask,363,399,504,540
M_119.jpg,305,458,Mask,55,75,167,188
M_11.jpg,305,458,Mask,82,103,172,194
M_1200.jpg,750,930,Mask,184,159,733,709
M_1201.jpg,960,1190,Mask,216,575,826,1185
M_1202.jpg,615,568,Mask,270,184,499,412
M_1203.jpg,612,567,Mask,145,182,386,423
M_1204.jpg,747,451,Mask,153,67,312,225
M_1206.jpg,800,558,Mask,277,32,605,361
M_1207.jpg,800,418,Mask,237,45,501,310
M_1208.jpg,850,566,Mask,249,149,451,351
M_1209.jpg,960,913,Mask,285,531,609,855
M_120.jpg,305,458,Mask,73,75,216,218
M_1210.jpg,959,1339,Mask,406,405,618,617
M_1211.jpg,800,744,Mask,101,91,456,446
M_1212.jpg,960,1190,Mask,360,297,829,766
M_1213.jpg,750,929,Mask,190,347,598,756
M_1214.jpg,960,1190,Mask,366,57,543,235
M_1215.jpg,960,1190,Mask,232,256,462,486
M_1218.jpg,1200,1488,Mask,463,626,868,1031
M_1219.jpg,690,855,Mask,262,132,614,484
M_121.jpg,305,458,Mask,77,97,175,195
M_1220.jpg,2696,3348,Mask,1412,816,1720,1124
M_1221.jpg,1080,1004,Mask,95,176,915,996
M_1222.jpg,1920,2380,Mask,121,699,1540,2118
M_1223.jpg,562,697,Mask,406,202,513,310
M_1224.jpg,960,1192,Mask,229,230,443,444
M_1225.jpg,960,1190,Mask,166,201,882,917
M_1226.jpg,690,855,Mask,254,303,399,447
M_1228.jpg,960,892,Mask,301,215,647,561
M_1229.jpg,960,892,Mask,714,185,944,414
M_122.jpg,305,203,Mask,155,34,255,134
M_1230.jpg,690,962,Mask,297,136,442,281
M_1231.jpg,536,497,Mask,196,195,363,362
M_1232.jpg,960,1586,Mask,222,413,693,883
M_1233.jpg,960,1586,Mask,341,727,662,1048
M_1234.jpg,960,1586,Mask,410,732,743,1065
M_1235.jpg,750,930,Mask,166,363,582,778
M_1238.jpg,2320,2871,Mask,1338,971,1839,1474
M_1239.jpg,690,641,Mask,154,124,507,477
M_123.jpg,305,305,Mask,82,49,197,163
M_1240.jpg,547,744,Mask,218,125,381,288
M_1241.jpg,960,1190,Mask,318,208,586,476
M_1242.jpg,1932,2395,Mask,463,331,1452,1320
M_1243.jpg,656,610,Mask,266,88,413,235
